等级,职业,属性,种族,名称,攻,受,速,范,魔,技能,性质
10,术士,木,精灵,妖精王奥尔贝隆,4,3,4,4,5,光墙 审判之石【0.5（攻0守无限速5范0；飞行；此单位与对方单位位置重合时，对对方单位给予4的伤害，然后破坏）￥世界之种（占4*4；攻4守8范3速0；被视为地形；妖精王在此单位上自然回魔）天锁【2（选定场上一个单位，那个单位两回合后无法移动；六回合；破魔；）,飞行；此单位每回合开始时自动给予周围3的伤害
8,剑士,土,人类,过时的完美剑客。信,4,3,3,1,5,【1苦末斩（4格） 保护 吸魔 【0.5鬼步（移动3格） 拔刀斩（6回合一次；伤5；半破魔；使用后攻击次数+1；6回合）,攻击2次；此单位没有技能回合数限制；每回合将剩余的攻击数转化为那个回合防守回合的挡开攻击或技能的次数，破魔的攻击或技能对此效果无效
5,勇者,暗,兽人,D。黑豹,3,3,4,2,5,飞跃 模仿（一回合一次；使用周围11*11单位的一个技能） 回避,无
9,刺客,暗,恶魔,芙蕾,4,2,4,1,4,回避 隐身 狂杀【2（周围一圈；破魔）￥神刺（4格；破魔）￥附身（附着到一个单位8回合；破魔）,普攻吸血；飞行
3,勇者,土,人类,不败将军。弗里德,3,3,2,2,4,龙息 硬化 神速 保护 鼓舞（一回合不费魔使用一次；可以对己方单位（包括此单位）使用，被使用的单位此回合移动次数+1）,攻击己方加血；可格挡反击；自然回魔
6,剑士,水,恶魔,代行者。暮别,4,1,4,1,5,回避 吸魔 穿刺（大） 代行契约（附着在一单位上（己方），得到那个单位的一项能力值，一个技能）,无法被吸魔
4,勇者,风,人类,最后的守护者,3,4,3,1,4,龙息 飞跃 保护 ￥终结（使用后每回合血-1/4；攻+3；速+2；不受到此技能以外的伤害和效果；普攻破魔）,无
4,勇者,风,灵体,无常,3,4,3,4,5,魔盾 分身 龙息 ￥无常（使一个单位4回合不能使用攻击或技能）,攻2次；每次普攻带有“无常”的效果
10,剑士,风,精灵,飞王,4,3,5,1,5,神速 震开 狂风【1.5（前方5*5所有召唤兽和分身破坏；隐身无效；所有非分身，召唤物单位尽量排列到此技能范围中点周围）穿刺（大）飞王大剑（每回合魔-1攻击3*3）里次元大剑（开关技能；一回合一次；攻+2，速-2；增加特性：攻击对方单位时对哪个单位身后的直线无限格给予伤害，并且给予以下破魔效果：6回合内不能移动） ￥王者的看破（周围5*5在此回合内改变天气；天气的效果为：除“飞王”以外如果使用被动技能血将-3/4） 吸魔,飞行；攻击吸魔；破坏一个武将后所有大招重置，并且速+1；
5,弓箭,土,人类,红衣,3,3,3,1,4,保护 隐身 致命之弓【1（范5；积累攻击伤害；4-5；积累回合不能攻击；下次攻击破魔）￥无限（四回合内攻击全场） ¥无限铠甲（物免；4回合） ¥无限法袍（魔免；4回合）,攻击两次
5,勇者,炎,人类,聚变人,4,4,3,1,3,回避 神速 穿刺 ￥核冲（开关技能；攻+1，攻击4格，移动到第5格）,攻击一周；被破坏时给予周围4的伤害
5,贤者,风,人类,夏目,2,4,2,4,5,加血 风壁 神速 驱散（一回合一次，周围11*11，召唤物，分身破坏，隐身无效）,攻击己方加魔
7,骑士,炎,兽人,亚伦,4,4,2,3,4,独角兽（攻4守5速5范1；普攻破魔）保护 穿刺（大）,此单位周围7*7的单位每个己方回合开始时血+1/4
6,法师,水,人类,拉奥魔导士,3,3,3,4,5,光墙 波导弹【1.5（4*4，远程；可以不用魔发动，此时伤害为2；一回合一次）,可以减1魔以外的能力使一次伤害不计算
5,弓箭,光,天使,樱火,3,3,4,2,4,回避 穿刺 飞跃 ￥浮游炮*4（攻4守2速4范5；被破坏后在下回合开始时召唤；不受到技能伤害）,可穿人
9,勇者,土,灵体,牛鬼,4,4,4,1,5,震开 妖刀。魔鬼【1（攻击3格，伤害分别为5，4，3；一回合一次）吸魔（大）神速 锁链 龙息 穿刺 ￥山神术。室王（魔无限，8回合）￥遁术。神山（守+2，血满，不能移动）（每回合魔+1，12回合；使用过程中自然回魔）,自然回血；可格挡反击
5,法师,光,天使,制裁者,3,3,3,3,5,治疗【1（加血；加魔） 光墙 远程龙息,飞行；自然回血；自然回魔；周围11*11天气变为“天空圣域”
8,狂战,炎,灵体,第七神龙。阿尔佐利亚,5,4,4,3,5,保护 变硬 核变【2（6*6） ￥重力场（扔三次硬币 范围=a*a，a=b*b*b；b = 扔硬币决定的数量，正=2，反=1；半破魔；具有破魔的吸魔效果）,占四格；自然回魔；飞行
10,狂战,土,人类,赫拉克罗斯,4,5,3,1,5,地裂【1.5（2*6）震开 硬化 锁链 飞跃 ¥怒斩（3*4） ￥八命（使用后此单位获得以下特性：每破坏一次，原地除此技能重置以外满状态复活；计数＋1；当计数为8时此技能无效）,占4格；攻击一周或者攻击两格；此单位不能购买道具；此单位受到的远程伤害－1；自然回复；普攻破魔
5,法师,炎,人类,罗杰特,3,3,2,3,5,血墙*2（2回合一次；或用1个魔发动） 爆破【1.5（2*2） 血雨（2-5个魔发动2*2-5*5的范围攻击） ¥顿悟（将此单位变为“罗杰特。梅丽”8回合,飞行
5,勇者,暗,人类,独行者四月一日,3,3,3,3,4,回避 保护 神速 穿刺 吸魔 催眠【1（使对方移动或攻击或放出一个技能） 欺骗空间（使一个单位消失4回合后原地出现，在那个单位出现前得到那个单位的一个特性；魔力点-1；随时发动）￥豪夺（破魔；夺走一项特性或技能）,此单位以外针对此单位的技能费两倍的魔；攻击+1魔力点
5,勇者,水,水族,发条鲨,4,3,3,1,3,保护 神速 发条（魔力点+2；一回合一次） 穿刺 倒刺（攻击或对此单位使用技能的单位受到4的伤害；2回合；魔力点-1） 脉冲（魔力点-3）（2*5）,无
6,剑士,暗,石人,苍枪,4,4,3,1,5,保护 神速 硬化 穿刺（最大） 锁链 诅咒之铁（6回合可以不用魔使用一次；范5；得到一个对方武将上一次使用过的主动技能；那个技能最多使用3次；破魔）,每个己方进攻回合可以不用魔使用一次技能；魔免；攻击3格；普攻带破魔的锁链效果；飞行
6,弓箭,风,天使,翼神,3,3,4,4,5,远程穿刺 圣箭【1（一回合最多使用一次；伤害一格，带有以下破魔效果：速-1）￥折翼（不能飞行，魔+4）保护 ¥天使之翼（此单位周围5*5的己方单位物免；6回合；使用“折翼”后此技能重置）,飞行；此单位在场上时被视为名字里带有“天使”的单位
4,勇者,土,兽人,钢钻甲的人形鼠,3,3,4,1,4,保护 飞跃 穿刺 钻地【1（使用后两回合无敌，并且不能移动，每个进攻回合结束时移动5格，第三回合开始时攻击周围7*7之内的一个单位；破魔；攻击后移动到攻击对象身边）,无
7,刺客,水,人类,忍医。佐井,3,1,5,1,5,回避 神速 点穴【1（目标随机一项能力+1；10回合；一回合一次）无缝之缝补（一回合一次；目标魔-3，若没有3个魔则不能发动；两回合后血满魔满；对象在状态全满前守+2） ￥撕裂,无
6,狂战,土,石人,无名的岩石兵,3,4,2,1,4,变硬 穿刺 震开 巨大化（速-1，攻+1，守+1；魔力点-1；2回合）,受到攻击魔力点+2；不攻击的回合结束时攻+1，到4；自然回血；满血受到致命伤害时剩1/2的血；攻击此单位的单位在下一个进攻回合无法攻击）
3,法师,冰,精灵,矮人法师,4,1,1,4,5,冰刺（大） 冰墙 ￥冰熊*2（攻4守5速4范1；可被“矮人法师”乘骑；乘骑此单位的单位自然回魔）,无
4,剑士,风,兽人,次郎坊,4,3,3,1,3,穿刺 保护 百鸟葬（4回合一次；3*6；伤=此单位攻+2）,无
5,勇者,雷,兽人,光子朗,3,3,4,1,4,回避 穿刺 ￥光子化（使对方对此单位造成的伤害无效并且之后6回合攻+2）光子推进（8回合一次；移动到有单位为止；之后6回合速度变成1） ￥光子圣域（在进攻回合有两次机会把己方单位移动到此单位周围）,无
4,勇者,土,人类,魔王,4,4,3,3,5,机枪（需要装填一回合后不费魔使用） 通吃【1.5（2*4） 保护 神速,每回合开始时选择一个破坏的己方武将并获得那个武将的特性2回合；对此单位使用技能的对方武将魔-2，到0
5,剑士,光,精灵,沉默剑士,4,3,4,1,4,飞跃 保护 穿刺 分身 祭纳之剑（一回合2次；四格，伤害分别为5，4，3，2；一回合一次）,无
5,狂战,木,灵体,复仇之种,3,4,3,1,5,隐身 复仇【1（当队友被破坏时次技能伤害*2；破魔，无法被回避） 回避 ,当受到伤害时将伤害除以2平分到此单位和对此单位造成伤害的单位上
6,狂战,土,人类,巨大的战士。窝金,4,5,4,1,3,神速 变硬 保护 穿刺 ￥气息炮（6格） ￥震波（一周2格）,占4格；对此单位近身攻击或使用技能的单位被弹开一格；血在3/4以下时重置大招；自然回复
7,法师,暗,飞龙,暗之支配者。黑炎龙,4,4,4,4,5,震开 烈风【1.5（2*3；身前）￥黑炎弹（4*4；半破魔）Total Ellipse(一回合一次；投3次硬币，3次都为正则6*6，1-2次为正则3*3，0次为正不发动并且魔-1.5；使用后重置大招）,自然回血 占四格 飞行 不受范围伤害
4,刺客,暗,兽人,暗刺,3,2,4,2,4,¥暗影部落（复制3个自己；破坏一个武将后所有此技能召唤的单位破坏，此技能重置） 隐身 ,普攻破魔；此单位使用隐身后场上所有己方的同名武将变为隐身状态
6,贤者,光,精灵,魔导神官,3,1,3,3,5,￥瞬移 光墙 回魔 大魔法。纹章（一回合一次；5*5，己方回复（大））,自然回魔
4,剑士,木,人类,神裂,4,3,3,1,4,穿刺（大） 保护 飞跃 一闪（8回合一次；4格；随时使用；伤害为此单位攻+1）,
4,刺客,暗,恶魔,蕾米,4,2,4,1,6,回避 隐身 穿刺 ￥混沌（一周） 蝙蝠（2回合一次；攻3守1速3范1；飞行）,飞行；吸血；此单位当血量为0时不会被破坏，而是剩1/4，魔-1；普攻吸魔
8,刺客,暗,精灵,污浊之伞。塔尔,4,1,1,1,4,￥撕裂 穿刺 神速 ￥救赎（攻-3，所有单位无法对此单位使用技能，也无法针对此单位的攻击使用技能）回避,周围21*21所有单位速度变为6减去原来速度的值，周围21*21内隐身无效
9,法师,炎,精灵,凤凰,3,3,4,4,5,光墙 ￥殆尽（周围15*15）新生（攻+1，攻击两次，15*15范围内都可以攻击到，不能移动，无敌；每回合魔-1.5，回合开始时不够时强行变为原来状态）石像鬼(每8回合一次，攻0守3范1速3；在此单位周围的己方单位在攻击回合结束时魔+1),魔上限10；不受到技能伤害
4,勇者,炎,人类,莉狄雅,3,4,3,1,3,震开 神速 穿刺(大） 气息（4回合内，所有周围单位守-1） ￥决斗（在周围11*11内选择一个对方单位；此单位只能对那个单位造成伤害；并变为“里。丽狄娅”；那个单位破坏后此技能效果结束）,普攻半破魔，弧形攻击
8,勇者,炎,兽人,年兽,4,4,3,3,5,神速 保护 龙息（大）龙舞（魔+4，血满，四回合一次）￥灵压（6回合）（攻+1，守+1）怒吼（4回合一次；破魔；被击中单位单位只能对此单位造成伤害；4回合）,自然回魔；自然回血
7,剑士,暗,灵体,深渊,4,3,4,1,5,保护 黑洞（2魔以上，含2魔，使出？*？的范围攻击，遇到保护和魔墙给予半破魔的伤害；破坏地形） 变硬 神速 分身 飞跃,双向攻击；在给予单位伤害后附带破魔的吸魔效果；黑洞对于武将或召唤物以外造成的伤害不会计算在内；魔上限9
4,剑士,土,兽人,豹头人,4,3,4,1,4,神速 飞跃 回避 啃咬【1（破魔；6回合内使对象强制移动，保证对象一直在此单位周围，任意一方受到伤害就打断，豹头人攻击或使用技能也打断，自己也可以选择打断，过程中此单位被啃咬对方单位不能攻击或使用技能） ¥兽族奔袭（移动6格）,无
5,术士,炎,人类,爆炎使者,3,2,1,4,5,飞跃 【1炎巨人（攻4守4速3范1；攻击两格；有一次保护；4回合可不费魔召唤一只）【2爆裂（3*3；击中没有单位的区域时在那个区域尽可能多的召唤“炎巨人”）￥加血（全场）炎墙,自然回魔
4,贤者,暗,兽人,D。毁灭小子,2,4,2,3,5,神速 光墙 加魔 吸魔 纠缠【2（6回合 被击中后，每回合被吸血，吸魔；破魔）【1.5虚灵（使一个单位不能攻击，物免，并且受到2倍的技能伤害，回复效果，和吸魔吸血效果；破魔；4回合）,自然回魔
8,飞龙,光,飞龙,光与暗之龙,3,4,4,4,5,龙息 光墙 分身 神光（随时使用；费现血量的一半发动；使一次技能无效化）¥混沌秩序（8回合；“神光”范围变为全场）,攻击2次；魔免；飞行；也可以当成暗属性
4,剑士,风,鸟人,鹰,4,3,3,1,4,穿刺 （大） 分身 回避 链条 【1夜叉（破魔；无视魔免；被击中后不能移动或使用主动技能或回避） ￥天空纽带（范10；只能对直线上最近的己方单位使用，将那个单位直线移动到此单位周围，并且那个单位次回合内增加特性“飞行”）,飞行；弧形攻击；此单位；每回合少移动的格数加到速上；速最高7；攻击后速重置
4,刺客,暗,兽人,黑猫,3,2,4,1,5,飞跃 回避 穿刺 隐身 猫手（一回合一次；攻击一周，并且有破魔的吸魔效果）,无
4,剑士,土,兽人,石猴,3,2,5,1,4,飞跃 回避 ￥石化（速2守4；可以在回合结束时取消） 分身*8,攻击2次；每次攻击都有1/2几率在周围召唤一个分身
5,勇者,钢,兽人,狼王,4,3,3,1,3,召狼（一回合一次；攻3守3范1速5；魔免；可被“狼王”乘骑） 保护 龙息 吸魔,攻2次；攻击有1/2几率伤害+1；此单位乘骑的“召狼”有1/2几率使受到的伤害无效
6,机甲,钢,机甲,月面兽。正义盟军,3,4,4,4,0,机枪 离子盾 脉冲（前方5格；1回合一次） 闪光弹（3*3；攻-1，速-1，攻击有1/2几率无效；到1；6回合；一回合一次）,破坏时打一周；每次攻击或主动技能都会重置次单位的移动次数；周围每次有对方单位使用技能，直到下回合结束攻+1
5,狂战,水,水生,天蟹,3,5,3,1,3,神速 吸魔 穿刺 保护 天罚（4回合一次；5*5；挑选被击中的对方单位一个技能不能使用）,弧形攻击
8,贤者,光,人类,王国的公主。阿摩纱,1,1,2,3,0,天机（1魔免，2任意一项能力+2，3每回合多攻击一次，4范+4，5自然回血，自然回魔，6任意能力+1；随机使己方单位获得以上的辅助效果；一回合一次；可以对场上任意己方单位使用；效果不可叠加；效果持续6回合；若随机到第六项辅助，则再随机一次，若还是六，跳过对方回合）￥阴谋（自己使用‘天机’时才能使用；指定一次‘天机’的辅助效果）神盾（墙；一回合2次；只能对自己使用；被挡住攻击或技能的单位攻-1）神隐（隐身；4回合一次）,无
3,狂战,冰,兽人,雪巨人,3,4,1,3,3,神速 变硬 保护 雪崩（4回合一次；2*6）¥大雪崩（将天气变为“大雪崩”；10回合）,无
7,勇者,雷,人类,操作手。侠客,2,3,4,1,5,神速 飞跃 保护 穿刺 ￥电子波纹（攻守速+2，魔免，特性无效，只能攻击和技能最近的敌方单位，无法取消）,此单位对对方单位造成1/8以上伤害并没有破坏对方的情况下，对方魔归零，守+3，并得到该单位控制权，10回合后回合结束时该单位破坏，对被骑乘的单位和李源无效； 魔免
10,勇者,钢,人类,无能王。西莱,4,4,3,4,5,硬化 龙息 震开 神气（魔力点+1；一回合一次） 双腔龙（攻2守3速3范3；受到此单位伤害的单位下回合速-1；魔力点-1） ￥王道（魔力点+6） 愤怒（全能力+1；4回合；魔力点-2） 怪力（周围5*5，；使用后血+1/2；魔力点-2；）,自然回魔；被双腔龙以为的单位攻击或技能魔力点+1；每次使用主动技能后有1/2几率当回合移动次数重置
2,勇者,暗,鸟人,D。乌鸦,1,2,2,1,1,保护 切（8回合一次；对方场上任意一次攻击或技能或移动无效）,无
6,术士,土,人类,虫师。仁,0,3,1,4,5,保护 吸魔 巨蝉（可乘骑；飞行；攻0守4速4范3被攻击的对象魔-2并且4回合不能使用技能）苦虫【0.5（攻1守3速3范2；吸魔（大））怪虫【0.5（攻3守4速3范1；可隐身一次）￥幻虫。喷霞虫（攻4守5范4速0，每个进攻回合结束时在周围召唤一只苦虫或怪虫；占4格）,自然回魔
5,法师,暗,兽人,哔库,1,2,2,1,5,神的左手，魔的右手（一回合一次；发动此技能时右边一定要有单位；召唤一个和右边单位能力值特性相同的单位在左边；此单位可得到右边单位的一个技能，召唤的单位在10回合结束后破坏；一回合一次） 保护,不受技能伤害
6,勇者,土,兽人,拳击袋鼠,3,3,3,2,4,回避 飞跃（6格） ￥地裂（4格；伤=血*1/2） 兽化（一回合一次；开关技能；攻+2，范-1，守-1）,攻击2次；第二次攻击破魔
5,法师,风,灵体,魂之操纵者,1,3,3,4,5,操纵【1（控制敌方一个武将6回合；被控制武将只能在此武将周围9*9范围内行动；那个单位在被此技能作用时不受到己方伤害） 保护 隐身,自然回魔；此单位在隐身时特性无效
7,剑士,暗,精灵,式,5,3,3,1,4,穿刺 冲刺 飞跃 回避 ￥心眼（破魔；不可被回避；无视魔免；将一个单位移动一格，或者在此回合结束前令那个单位无法使用技能） 视死之眼（6回合一次；无视魔免；范5；被击中单位受到破魔的效果，之后6回合不能移动，普攻，和主动技能）,反隐；攻击吸魔
4,刺客,雷,恶魔,ID变更者,3,4,2,0,5,吸魔（范3） 穿刺 保护 阵营转移【5（将此单位的控制权交给对方）,普攻伤害+1；范围无限；不会受到己方伤害；飞行；每回合开始时必定攻击离此单位最近的己方单位；普攻破魔
8,狂战,土,兽人,骆驼犬,2,4,3,1,3,保护 体脂强化【0.5（守+1；6回合） 重甲【0.5（速-2；受到普攻伤害-2）龙息 低吼(范13*13；对方攻击或使用技能时随时使用；瞬移到此单位周围，目标转为此单位；一回合4次） ,自然回血；此单位受到的技能效果无效。威力减半
5,机甲,雷,机甲,超量机械王,3,4,3,3,0,钢加农（攻4守7范3速1；6回合一次） 离子盾 机枪 ￥磁暴（无视魔免；周围两格给予4的破魔伤害；并且带有以下破魔效果：速-1；魔免无效）,占4格
6,勇者,暗,恶魔,D。龙骑,4,4,4,1,5,龙息 神速 吸魔 分身 保护 ￥分裂（复制一个自己，不共用魔，那个单位10回合后破坏）恶龙诅咒（4回合一次；持续8回合；范6；破魔；被击中单位每次攻击都魔-1，此单位魔+1；每次使用主动技能后在那个单位周围召唤一个“恶龙幻影”，与那个单位能力值，特性相同，只能对那个单位造成伤害，并且在那个单位破坏时破坏）,飞行
10,剑士,暗,灵体,妖之末裔。零食鬼,4,3,4,2,5,回避 吸魔 秘术。移（6回合一次；选择一个单位，在第5个回合开始时移动到那个单位身边） ￥秘术。化（攻守速+1；四回合；并且复制一个自己；共用魔） ￥秘。刺（7格；任意转向；不能重叠） 恐吓【1（对方4回合不能攻击或技能；一回合一次） ￥秘术。印（破魔；使对方此回合使用过的被动技能不能发动；4回合） ￥妖术。百鬼夜行（召唤4个单位，之后8回合每个进攻回合开始时在身边召唤一个；召唤的单位能力值，技能，特性始终与此单位相同；召唤的单位与此单位共用魔）,无
6,弓箭,暗,人类,读心者。玛娜,2,3,3,4,6,读心术（对方攻击或技能无效，并同时受到同样的伤害和效果；对方在隐秘处写下0或1，己方猜；猜对的情况下，上方效果发动，并且得到对方使用的技能；猜错的情况下，此单位使用震开，魔-1） 飞跃,魔上限9；此单位的技能可以对坐骑上的单位使用
8,勇者,光,灵体,白王。白薙,3,3,5,1,5,回避 飞跃 震开 龙息 ￥白风结界（8回合；所有单位无法接近） 先知梦（6回合一次；夺取对方一个主动技能；6回合）,攻击吸血吸魔；攻2次；可格挡反击；只受近身伤害
1,勇者,水,人类,李〇,2,2,4,1,0,￥友情一击（对目标造成1的伤害，破魔） ￥爱情一击（对目标造成1的伤害，破魔，无法被回避） ￥基情一击（对目标造成1的伤害，破魔，无法被回避，无视魔免） ￥TALKSHOW（使用后攻守交换） YUAN4~~~（一回合一次，使用后将场上名为李〇的武将全属性+0.5，计算的最终结果向下取整） 回避,飞行，自然回魔；曾经31岁单身，自带哥布林的秘药，进场时自带2个魔力点，场上有肌肉.介明.张的时候飞行特性无效
7,弓箭,暗,精灵,逆光之月。猎手,3,3,3,4,5,导弹针【2（一回合可以不费魔使用一次；攻击1-5次） 保护 穿刺 神速 ￥锁定（破魔；无法回避；命中后被命中的单位无法回避此单位的攻击，技能） ￥变形（守-1，速-1，范+2，攻+1） 吸魔（大） 【1尖刺护盾（被动技能；保护一次攻击或指向技能；并对攻击和技能的对象造成此单位攻击力的伤害；一回合最多使用2次）,魔免
2,勇者,土,机甲,古代机甲,3,3,2,1,3,穿刺 保护 古代融合（选择场上己方一名名字里带有“古代”的单位；此单位破坏；那个单位攻+1，守+1，获得此单位特性；）,可格挡反击；普攻带有以下的破魔效果：对方守-1，此单位守+1
6,勇者,暗,恶魔,冥府使者,4,4,3,1,5,魔种【2（6回合不费魔一次；攻3守3速3范1；普攻版破魔；可吸魔；可隐身2次；被此单位破坏的单位原地召唤‘魔种’)  魔府培育（一回合一次；减去自身1/4的血增加自己召唤的所有‘魔种’一项能力值，可以叠加）保护 神速 飞跃 穿刺 分身,普攻带有破魔的吸血效果；场上每有一个此单位召唤的‘魔种’被破坏，此单位血+1/4；此单位在此单位召唤的‘魔种’周围不会受到技能效果影响
7,弓箭,光,天使,天使则拉,4,4,4,3,4,保护 神速 分身 穿刺 神秘仪式（魔+3；魔力点-2） 坠天【2（攻击4格；移动到第5格；并且途中没有单位的格子召唤分身）,飞行；破坏1个单位，魔力点+1
6,术士,水,恶魔,毒王,2,4,2,3,5,震开 召唤水蛭*5【0.5（攻2守1速3范1；一回合一次依附在一个单位上（破魔）） 毒性液体【1（7格；破魔；被击中的单位个进攻回合开始时受到1的伤害；之后每次被击中伤害+1，到3）,自然回魔
4,勇者,火,机甲,魔神凯撒,4,5,4,3,4,穿刺（大） 硬化 保护 凯撒神拳（6回合一次不费魔使用；范1；伤害为攻+1；带有破魔的吸魔效果）,飞行
6,剑士,火,人类,绯色,4,3,3,2,3,回避 硬化 飞跃 神速 保护 ￥雾剑。启动（使用后攻变为1） 雾剑。凝固（一回合一次；仅可在攻为1时使用；对周围一个次回合内没有攻击和技能过的己方单位使用，那个单位此回合内不能攻击或技能，然后此单位攻增加那个单位的攻的数值） ￥雾剑。缠绕（仅可在攻为1时使用；破魔；击中单位瞬移到那个单位当前位置周围7*7以外的任意位置，那个单位不能移动，或使用位移技能；6回合） 雾剑。迷幻（一回合一次；随时使用；仅可在攻为1时使用；召唤“雾气”：攻0守0.5速0范0，魔免，此单位周围的对方单位不能使用主动技能）,普攻是2*6的弧形攻击；或者攻击范围4；吸血；半破魔
4,弓箭,雷,灵体,杂音,3,3,4,2,4,神速 回避 干扰（2回合一次；10*10内所有分身破坏；控制权转为此单位） 穿刺,自然回魔
6,法师,暗,灵体,梦魔,2,4,1,4,5,神速 镇定【1（使一个单位除了魔以外回到原始能力值） 回魔 魔墙 哈欠【1（使一个单位不能移动；每个此单位的攻击回合开始时回合血+1/4，魔-1，此单位魔+1，直到任意一方被普攻击中） ¥入梦（守-2，攻+2，范+2，速+2；6回合）,自然回魔；每次造成伤害重置‘入梦’
